Прізвище;Ім’я;По батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Слюсар;Ганна;Ларисаівна;Жіноча;1956-06-07;Редактор;місто Ровеньки;провулок Пісочний, буд. 889, Луганськ, 81246;958-98-84;spas31@example.com
Симоненко;Ярослава;Маріяівна;Жіноча;2005-07-11;Петрограф;селище Євпаторія;узвіз Торгова, буд. 724 кв. 2, Моршин, 97392;+380 29 882-95-93;shvachkospas@example.org
Забашта;Сніжана;Едитаівна;Жіноча;1941-09-23;Клавішник;село Почаїв;узвіз Туристська, буд. 65 кв. 14, Помічна, 96738;087 78 33;iaryna77@example.net
Власенко;Вадим;Ростиславович;Чоловіча;1964-10-08;Графік;селище Костянтинівка;парк Дюківська, буд. 55, Лозова , 93124;+380 (42) 172-33-23;abramenkohavrylo@example.net
Авдєєнко;Остап;Мирославович;Чоловіча;1984-09-11;Конструктор;хутір Знам'янка;набережна Станційна 3-тя, буд. 8, Миронівка, 71944;+380 (20) 807-12-23;rbabak@example.org
Євдокименко;Єлисей;Павлоович;Чоловіча;1997-08-19;Мірошник;хутір Торецьк;шосе Академіка Заболотного, буд. 20, Погребище, 16621;+380 44 528-08-68;nehodaemiliia@example.org
Кальченко;Едита;Оксеніяівна;Жіноча;1940-04-01;Графік;хутір Буринь;узвіз Тролейбусна, буд. 48, Борзна, 67601;+380 94 976-36-08;oliinyknadiia@example.com
Андрейко;Пріска;Альбінаівна;Жіноча;1973-02-05;Хореограф;хутір Бурштин ;шосе Машинобудівний, буд. 95 кв. 06, Білопілля, 29767;028 717 77 62;lesviter@example.com
Гавриш;Олександр;Орхипович;Чоловіча;1988-02-07;Астрофізик;місто Вугледар;шосе Немировича-Данченка, буд. 8, Стебник, 01996;032 461-71-99;liubov89@example.com
Перепелиця;Едуард;Євгенович;Чоловіча;1947-04-04;Соціолог;місто Старий Крим;шосе Виставочна, буд. 300, Олевськ, 80211;350 67 23;zhukustym@example.org
Гаврилів;Владислав;Феофанович;Чоловіча;1984-02-26;Футболіст;хутір Хрестівка;провулок Марсельська, буд. 436, Лохвиця, 62252;201 21 56;tzasiadko@example.org
Андрієнко;Дарина;Каміллаівна;Жіноча;1939-03-29;Намотувальник;село Червоносів;сквер Західний 1-й, буд. 4, Лубни, 81953;062 071-25-20;myrondotsenko@example.net
Затовканюк;Захар;Йосипович;Чоловіча;2004-07-17;Публіцист;село Ірміно;шосе Лиманчик 2-й Лінія 8-ма, буд. 4, Сколе, 35468;537 28 82;arsenychstanislav@example.net
Скопенко;Георгій;Дмитроович;Чоловіча;1945-12-27;Дипломат;місто Новодружеськ;набережна Чайковського, буд. 8, Березань , 79972;+380 (76) 096-95-74;evanchenko@example.com
Макогон;Миколай;Назарович;Чоловіча;1940-12-21;Гицель;місто Монастириська;проспект 2-га Лінія 6-й ст. Люстдорфської дороги, буд. 5, Долина , 68163;633 53 54;qbebeshko@example.com
Чалий;Вʼячеслав;Олесьович;Чоловіча;1957-01-25;Сантехнік;хутір Щастя ;парк Сортувальна 2-га, буд. 8 кв. 38, Сніжне, 31168;007 622 68 67;charnyshihnat@example.org
Оробець;Василь;Маркоович;Чоловіча;2004-08-08;Лікар;місто Хрустальний;провулок Канатний, буд. 9, Бориспіль, 37007;649 55 18;okseniiahuz@example.net
Токар;Давид;Панасович;Чоловіча;2005-01-01;Машиніст;селище Алушта;сквер Верещагіна, буд. 5, Могилів-Подільський, 18059;+380 02 690 43 41;artemierchenko@example.org
Ейбоженко;Ярослав;Ааронович;Чоловіча;1951-07-13;Музикант;село Кам'янка-Бузька;шосе Жоліо-Кюрі, буд. 2 кв. 1, Стебник, 03432;096 600 28 79;ihornehoda@example.net
Вишняк;Панас;Глібович;Чоловіча;1955-04-22;Конструктор;місто Люботин;вулиця Серединський, буд. 72 кв. 453, Токмак, 87632;038 197-74-58;valentyna84@example.com
Теліженко;Христина;Любовівна;Жіноча;1984-05-24;Паралегал;хутір Підгайці;площа Сливова, буд. 04 кв. 7, Вуглегірськ, 37930;+380 67 227 14 38;rtverdokhlib@example.org
Чалий;Олександр;Францович;Чоловіча;1965-12-22;Ріелтор;місто Добропілля;сквер Миколаївський 1-й, буд. 10 кв. 4, Кривий Ріг, 80723;087 403 32 02;vitalii53@example.com
Алексійчук;Франц;Борисович;Чоловіча;1945-09-08;Ґрунтознавець;селище Борщів;парк Сільська, буд. 8, Алушта, 72390;083 395-06-12;mivanenko@example.org
Ванченко;Людмила;Маринаівна;Жіноча;1981-10-26;Мінералог;місто Дружківка;провулок Перлинна, буд. 6, Новгород-Сіверський, 94587;+380 68 857-94-39;skonoplia@example.net
Баштан;Пилип;Яремаович;Чоловіча;1995-08-08;Ветеринар;селище Нововолинськ;шосе Дорбуду, буд. 70, Білопілля, 48743;+380 (85) 537-93-01;mykhailychenkoielysei@example.com
Нестайко;Едита;Ерікаівна;Жіноча;1978-09-07;Продюсер;селище Рубіжне;набережна Хлібна гавань, буд. 358 кв. 6, Керч, 07733;299 15 24;prymachenkoprokhir@example.com
Оробець;Борис;Гордійович;Чоловіча;2004-09-12;Футболіст;село Галич;узвіз Косвена, буд. 990, Хоростків, 06559;599 21 25;rostyslav49@example.net
Устенко;Дан;Семенович;Чоловіча;1969-05-08;Електрослюсар;хутір Суми;провулок Прорізна, буд. 37, Київ, 77377;033 829 17 61;tarasprytula@example.net
Єрмоленко;Аліна;Розаліяівна;Жіноча;1974-09-18;Хімік;селище Бобринець;сквер Промисловий, буд. 71 кв. 993, Камінь-Каширський, 28541;050 389 95 73;gromanenko@example.org
Носаченко;Омелян;Феофанович;Чоловіча;1971-12-03;Письменник;село Богодухів;площа Планетна, буд. 421 кв. 290, Ужгород, 30386;+380 16 790-34-41;plukash@example.com
Захаренко;Яків;Степанович;Чоловіча;1989-10-26;Водій;місто Хорол ;парк Новоберегова, буд. 901, Деражня, 52393;014 629-15-57;iefremandriievych@example.net
Бевз;Єва;Аллаівна;Жіноча;1955-11-25;Професор;село Заставна;парк Віри Інбер, буд. 085 кв. 4, Тячів, 97505;037-05-32;dan41@example.net
Яценюк;Христина;Віраівна;Жіноча;1988-10-27;Паблік рилейшнз;місто Калинівка ;парк Дунаєвського 2-й, буд. 808, Бобровиця, 24935;022 435 64 57;rudkohryhorii@example.org
Червоненко;Стефан;Вʼячеславович;Чоловіча;1956-10-22;Юрист;селище Городенка;парк Богуна, буд. 67, Переяслав, 43924;+380 02 968-60-41;turkalodmytro@example.net
Гаврилишин;Галина;Алінаівна;Жіноча;1994-08-27;Астроном;хутір Кремінна;узвіз Іспанська, буд. 44 кв. 06, Луцьк, 90815;039 498 39 22;iermolenkomariana@example.org
Гаврилюк;Євген;Аркадійович;Чоловіча;1939-12-18;Кінорежисер;хутір Сокиряни;сквер Любашівський, буд. 032, Чорнобиль, 90632;+380 (52) 018-22-41;vasyllaba@example.com
Романець;Лілія;Альбінаівна;Жіноча;1980-05-26;Зоолог;село Хорол ;проспект Васнецова, буд. 25, Яворів, 18574;087 088-08-51;huzenkoarkadii@example.org
Баштан;Демʼян;Несторович;Чоловіча;1996-03-08;Медик;місто Тернопіль;сквер Сільська, буд. 050, Бобринець, 87847;+380 65 836-46-22;shukhevychdanna@example.net
Шило;Олесь;Гордійович;Чоловіча;1964-11-10;Етнограф;селище Жмеринка;парк Деревообробний 1-й, буд. 0, Долина , 63306;+380 68 626-09-44;siakovenko@example.com
Савенко;Тетяна;Роксоланаівна;Жіноча;1992-09-17;Юрист;селище Шепетівка;сквер 7-ма Лінія Дачі Ковалевського, буд. 582 кв. 01, Чигирин, 80160;413-91-53;xtalan@example.net
Ісаєнко;Назар;Олексаович;Чоловіча;2007-03-23;Машиніст;місто Бурштин ;площа Вапняний 1-й, буд. 538, Вознесенівка, 62498;064 747-86-53;aleksandrenkoarkadii@example.org
Юрчишина;Варвара;Ларисаівна;Жіноча;1951-05-07;Промисловець;місто Решетилівка;площа Єлісаветинська, буд. 6, Географія Вільнянська, 40877;+380 32 157-04-06;rizhakevych@example.net
Чуйко;Гліб;Пантелеймонович;Чоловіча;2006-07-31;Промисловець;місто Тячів;узвіз Хімічна, буд. 036, Надвірна, 51165;092 086-50-46;iustymzasenko@example.net
Андрусенко;Ігнат;Олегович;Чоловіча;1963-03-01;Водій;місто Амвросіївка;шосе Шевченка, буд. 711, Ківерці, 11396;795 39 31;rpustovit@example.org
Артюшенко;Петро;Трохимович;Чоловіча;1953-10-13;Кухар;селище Тальне;парк Приморська, буд. 3 кв. 8, Вознесенськ, 77247;+380 83 973 44 73;kamillaprokopovych@example.org
Гайденко;Прохір;Богуславович;Чоловіча;1985-04-23;Нотаріус;село Косів;шосе Кощового отамана, буд. 270 кв. 67, Дніпро , 91930;094 417-38-32;geretalevko@example.com
Свистун;Олег;Мартинович;Чоловіча;1961-08-08;Дерун;село Малин;парк Аптекарський, буд. 19, Зимогір'я, 88943;+380 58 951-08-99;trokhymlavrenko@example.net
Тичина;Аліна;Адаівна;Жіноча;1964-05-27;Модельєр;селище Сарни;набережна Лінія 36-та, буд. 433 кв. 106, Копичинці, 29845;459-31-36;itryhub@example.net
Журба;Георгій;Гаврилоович;Чоловіча;1956-02-28;Електромонтажник;селище Мукачево;площа Четверта, буд. 15 кв. 28, Нетішин, 23423;040 686 42 02;qdanchuk@example.org
Фастенко;Олекса;Володимирович;Чоловіча;1956-05-27;Єгер;селище Пологи ;шосе Ракетна, буд. 78, Перемишляни, 79001;753 92 36;dbandura@example.org
Артюшенко;Євген;Русланович;Чоловіча;2008-05-22;Продюсер;селище Теребовля;площа Вапняний 1-й, буд. 3 кв. 95, Кадіївка, 28047;+380 26 869-36-26;jsych@example.org
Їжакевич;Демʼян;Іванович;Чоловіча;1963-08-29;Вчитель;село Пирятин;сквер Проїзний 2-й, буд. 11, Угнів, 30377;+380 (71) 646-10-89;zhurbamykyta@example.com
Жадан;Климент;Стефанович;Чоловіча;1960-12-03;Ювелір;селище Новодністровськ;узвіз Заньковецької, буд. 51, Житомир, 75439;098 609 22 74;huzenkopanteleimon@example.net
Петрик;Ярема;Миронович;Чоловіча;1947-04-23;Сантехнік;селище Снятин;провулок Лугова, буд. 59 кв. 23, Бурштин , 07668;035 741-08-78;zaichenkoklavdiia@example.org
Чумаченко;Гордій;Юстимович;Чоловіча;1993-06-07;Швачка;місто Ізяслав;проспект Архітекторська, буд. 62 кв. 5, Бершадь, 97948;+380 67 067-06-28;andriienkooryna@example.net
Василенко;Аліна;Володимираівна;Жіноча;1947-04-16;Соціолог;селище Гайворон;сквер Іванівський переїзд, буд. 8, Суходільськ, 16465;098 091-41-62;vsvyrydenko@example.com
Дрозденко;Опанас;Орхипович;Чоловіча;1971-05-29;Маркетолог;хутір Іршава;сквер 9-та Лінія Дачі Ковалевського, буд. 1, Канів, 74236;+380 58 506-49-81;adaandroshchuk@example.org
Ґжицька;Одарка;Людмилаівна;Жіноча;1940-05-17;Астроном;селище Покров;парк Іванівська, буд. 40 кв. 960, Приморськ (Україна), 63262;+380 (48) 713-15-34;allariabovil@example.org
Цибуленко;Лукʼян;Олексаович;Чоловіча;1965-04-13;Сантехнік;селище Горохів;площа Ризька, буд. 03 кв. 20, Вишневе , 88794;+380 (09) 996-19-38;solomiiahuzenko@example.com
Жаліло;Богодар;Юстимович;Чоловіча;1989-01-30;Ґрунтознавець;село Гребінка;площа Лінія 48-ма, буд. 307, Зборів, 69604;075 228 47 68;zynoviiadamenko@example.com
Пʼятаченко;Володимир;Артемович;Чоловіча;1955-11-28;Краєзнавець;хутір Коростень;площа Тимірязєва 5-й, буд. 9 кв. 67, Ворожба, 73027;011-98-60;zorianpetryk@example.net
Пʼятаченко;Богодар;Леонтійович;Чоловіча;1995-11-14;Маркетолог;хутір Кремінна;провулок Пересипська 8-ма, буд. 11, Глиняни, 79933;031 735 10 54;mykhaliuknadiia@example.org
Ващенко;Златослава;Оксанаівна;Жіноча;1989-07-23;Редактор;село Роздільна;проспект Москеті, буд. 206 кв. 3, Горлівка, 71625;+380 55 085-83-08;anesterenko@example.org
Ємельяненко;Єва;Любовівна;Жіноча;1945-02-23;Електротехнік;село Бершадь;вулиця 6-та Лінія Марії Демченко, буд. 698 кв. 41, Виноградів, 57092;059 057-14-23;marynadzhun@example.org
Вобла;Емілія;Марʼянаівна;Жіноча;2008-05-30;Медик;місто Жданівка;парк Чорноморський 10-й, буд. 6 кв. 3, Довжанськ, 42181;167-77-76;xtiahnybok@example.com
Шинкаренко;Аліна;Ерікаівна;Жіноча;1999-05-12;Економіст;місто Гадяч;набережна Бітумна, буд. 0 кв. 9, Приморськ (Україна), 90097;+380 17 151 91 68;bakumenkosolomon@example.com
Габелко;Емілія;Соломіяівна;Жіноча;2007-10-17;Різноробочий;хутір Вовчанськ;проспект Васнецова, буд. 9 кв. 52, Зугрес, 55608;085 95 42;viktoriia46@example.net
Шамрай;Леопольд;Альбертович;Чоловіча;1970-08-17;Громадський діяч;село Київ;вулиця Матюшенка, буд. 82, Тернопіль, 14249;+380 95 254-05-20;andriievychadam@example.org
Верхола;Ростислав;Несторович;Чоловіча;1948-10-17;Круп'є;село Прип'ять ;провулок Сирітський, буд. 29, Пологи , 20579;212 44 50;arkhymovychiefrem@example.net
Аронець;Оксана;Галинаівна;Жіноча;2000-03-19;Промисловець;село Дергачі;площа Будівельний, буд. 5 кв. 702, Вознесенськ, 89002;067 413 37 70;kostiantynhodunok@example.org
Яремчук;Христина;Терезаівна;Жіноча;1944-05-18;Швачка;село Єнакієве;проспект Олександра Кутузакія, буд. 4, Амвросіївка, 80487;+380 36 226-26-32;kiakovenko@example.com
Ґжицька;Амалія;Еміліяівна;Жіноча;1940-07-18;Перекладач;село Люботин;шосе Сухолиманна, буд. 84 кв. 4, Березне, 34025;074 226 61 20;prokhirtkachenko@example.net
Барабаш;Варвара;Марʼянаівна;Жіноча;1963-05-25;Кінолог;хутір Золочів;набережна Небесної Сотні, буд. 809, Інкерман, 85820;+380 76 135-73-07;markohuz@example.org
Доценко;Спас;Ярославович;Чоловіча;1975-03-10;Сценарист;хутір Подільськ;узвіз Гімназична, буд. 0 кв. 240, Апостолове, 19228;246 56 79;iereskoleontii@example.com
Ірванець;Владислав;Аврелійович;Чоловіча;1968-12-06;Медик;селище Тараща;площа Архітекторська, буд. 9 кв. 7, Іллінці, 36161;931 78 82;violettaruban@example.com
Ребрик;Віра;Богданнаівна;Жіноча;1975-11-06;Правник;хутір Радомишль;сквер ім. К.Г. Паустовського, буд. 893, Жидачів, 73393;037-59-73;fzaika@example.org
Корпанюк;Костянтин;Прохірович;Чоловіча;1951-08-12;Режисер;село Бережани;узвіз Лиманчик 2-й Лінія 2-га, буд. 63 кв. 0, Рівне, 12063;157-13-31;zhalilovalentyn@example.com
Ярема;Маруся;Яринаівна;Жіноча;1961-05-05;Прокурор;хутір Перемишляни;шосе Черняховського, буд. 822, Жашків, 96275;+380 70 193-98-19;ielysei87@example.org
Баклан;Ольга;Златославаівна;Жіноча;2002-10-29;Астроном;хутір Красилів;узвіз Дунаєвського 1-й, буд. 3 кв. 30, Рожище, 80435;+380 84 912-23-15;ivasylechko@example.com
Дутка;Ада;Алінаівна;Жіноча;1993-01-26;Ді-джей;село Ковель;парк Леваневського, буд. 71, Винники, 39572;101 54 91;azar58@example.org
Ґереґа;Пріска;Каміллаівна;Жіноча;1949-09-15;Біолог;місто Жидачів;проспект Чапаєва, буд. 99, Соледар, 58854;+380 (33) 133-41-75;dashkevychteodor@example.com
Артимович;Олекса;Гаврилоович;Чоловіча;1955-05-12;Локсмайстер;місто Курахове;шосе Шампанський, буд. 04 кв. 55, Вовчанськ, 13470;044 079 01 58;oleksandrkorolenko@example.net
Акуленко;Василь;Венедиктович;Чоловіча;1968-12-12;Економіст;місто Буча;провулок Городня, буд. 5 кв. 9, Володимир-Волинський, 70641;079 729-17-59;valerii00@example.com
Рубець;Венедикт;Петроович;Чоловіча;1965-02-07;Швачка;хутір Шумськ;сквер Короленка, буд. 0, Радомишль, 79742;+380 01 880-25-91;bohodartkach@example.com
Ященко;Марина;Ганнаівна;Жіноча;1982-09-19;Науковець;село Горохів;набережна Розумовський 2-й, буд. 10 кв. 4, Деражня, 10441;389 62 15;kolisnychenkooleksandr@example.net
Іщенко;Марина;Любовівна;Жіноча;1970-05-11;Ветеринар;місто Зимогір'я;вулиця Газова, буд. 192 кв. 75, Хоростків, 60132;+380 (78) 004-07-74;alinadrobakha@example.com
Хоменко;Демʼян;Варфоломійович;Чоловіча;1951-02-02;Кушнір;село Часів Яр;площа Волниста, буд. 8 кв. 59, Покров, 02584;+380 79 936 92 47;hresirena@example.com
Василевич;Валентин;Аркадійович;Чоловіча;1954-03-01;Фольклорист;хутір Нікополь;парк Лип Івана та Юрія, буд. 9 кв. 95, Балаклія, 14435;724 45 94;aleksandrenkookhrim@example.com
Захаренко;Олена;Златославаівна;Жіноча;1963-09-10;Кінорежисер;село Судова Вишня;вулиця Пішонівська, буд. 766 кв. 7, Докучаєвськ, 17146;+380 (48) 977-65-80;stefanmatviienko@example.net
Артимович;Аарон;Олесьович;Чоловіча;1981-10-16;Електротехнік;село Старий Крим;набережна Люстдорфський, буд. 078, Синельникове, 42522;013 044-25-21;havryletshennadii@example.com
Хоменко;Тетяна;Ліліяівна;Жіноча;1986-09-16;Графік;хутір Добромиль;узвіз Чапаєва, буд. 0 кв. 68, Молочанськ, 31122;+380 85 433-17-79;aronetspylyp@example.com
Абрамчук;Златослава;Едитаівна;Жіноча;2004-11-04;Епідеміолог;хутір Скалат;шосе Городня, буд. 651 кв. 7, Судак , 25618;+380 (17) 852-30-29;tereza68@example.org
Скорик;Любов;Альбінаівна;Жіноча;1954-05-22;Агроном;селище Горлівка;вулиця Горіхова, буд. 807 кв. 7, Роздільна, 95195;+380 74 816-11-74;holoborodkooryna@example.net
Шведченко;Віолетта;Наталіяівна;Жіноча;1944-05-21;Скульптор;село Свалява;площа Тупиковий 2-й, буд. 1, Березань , 11920;089 30 62;nkalenychenko@example.net
Лукаш;Павло;Спасович;Чоловіча;1962-10-22;Ветеринар;хутір Липовець;парк Дерибасівська, буд. 32, Таврійськ, 42682;053 661 78 08;sviatoslavasachenko@example.org
Барабаш;Богуслава;Ліліяівна;Жіноча;1988-07-13;Намотувальник;місто Тлумач;шосе Краснослобідська, буд. 436 кв. 999, Житомир, 07510;654 20 61;onysym14@example.org
Лупій;Руслан;Георгійович;Чоловіча;1939-09-02;Мірошник;хутір Чуднів;вулиця Міцкевича, буд. 8 кв. 581, Яремче, 14134;+380 89 164 77 38;panas87@example.com
Забіла;Веніямин;Дмитроович;Чоловіча;1968-07-11;Продюсер;місто Запоріжжя;набережна Кар’єрна, буд. 5, Коломия, 67882;072 235 17 46;vasylyna38@example.com
Комар;Олександр;Аркадійович;Чоловіча;1986-08-01;Золотар;селище Помічна;узвіз Байкальська, буд. 0, Родинське, 10070;493 84 53;rostyslavgzhytska@example.net
Гупало;Сергій;Петроович;Чоловіча;1993-04-06;Головний меркшейдер;місто Красилів;набережна Путьова, буд. 5 кв. 030, Батурин, 14806;+380 79 088 42 79;iefremivanychuk@example.com
Хорішко;Артем;Владиславович;Чоловіча;2005-05-26;Ріелтор;місто Красноперекопськ;набережна Терещенка Володимира, буд. 9, Вовчанськ, 13138;875-38-24;nadiiatytarenko@example.net
Дробаха;Омелян;Орхипович;Чоловіча;1967-05-14;Гірник;село Лубни;провулок Пересипська 4-та, буд. 82, Ланівці, 48410;002 024 10 76;garsenych@example.com
Шило;Віра;Роксоланаівна;Жіноча;1974-03-25;Гірничий інженер;селище Сміла;площа Георгія Гамова, буд. 336, Кременець, 19870;+380 (96) 209-01-47;albina04@example.org
Єрмоленко;Роксолана;Ганнаівна;Жіноча;1959-10-26;Дизайнер;хутір Корюківка;парк Спартаківська, буд. 152, Брянка, 58638;992 41 71;chabanpriska@example.net
Гресь;Панас;Макарович;Чоловіча;1946-04-18;Економіст;село Снігурівка;вулиця Шостої 1-й, буд. 6, Алушта, 78009;351-90-24;kostiantyn15@example.com
Комар;Симон;Дмитроович;Чоловіча;1955-06-20;Стропальник;місто Мерефа;набережна 3-тя Лінія 4-ї ст. Люстдорфської дороги, буд. 690, Лохвиця, 66410;417-07-06;eduardiaremchuk@example.net
Гриценко;Альберт;Леонович;Чоловіча;1958-07-05;Електротехнік;селище Белз;сквер Желябова, буд. 8, Винники, 77982;023 216-01-40;zlatoslavavysochan@example.net
Засенко;Степан;Яремаович;Чоловіча;1998-08-14;Гінеколог;селище Скалат;площа Єлісаветинська, буд. 833, Нікополь, 48781;666 46 38;svystunlukian@example.com
Баран;Богданна;Світланаівна;Жіноча;1950-06-20;Економіст;хутір Теплодар;шосе Якірний, буд. 67 кв. 44, Тетіїв, 03677;+380 40 521-78-82;fesenkoustym@example.net
Артим;Микита;Борисович;Чоловіча;2007-10-03;Філолог;хутір Ізюм;вулиця Тепличний 2-й, буд. 66 кв. 964, Гуляйполе, 68274;+380 25 491-02-62;kdubenko@example.org
Микитюк;Соломія;Василинаівна;Жіноча;1948-07-01;Юрист;селище Очаків;провулок Квітковий, буд. 846, Моршин, 58792;+380 38 795-84-43;qvysochan@example.org
Бабій;Мартин;Юхимович;Чоловіча;1981-06-12;Мистецтвознавець;село Сокиряни;вулиця Студентський, буд. 9 кв. 583, Роздільна, 31253;+380 77 740 11 52;mandriichuk@example.net
Устенко;Мілена;Мартаівна;Жіноча;1968-04-19;Астроном;село Благовіщенське;сквер Коцюбинського, буд. 952 кв. 6, Кременець, 25450;+380 83 500-24-07;bevzielysei@example.org
Гавриш;Анжела;Пріскаівна;Жіноча;1941-04-06;Кінорежисер;село Помічна;проспект Вершинна, буд. 200, Винники, 96458;912 24 31;hryhorii84@example.com
Штепа;Микита;Арсенович;Чоловіча;1985-02-17;Зоолог;місто Ямпіль;шосе Поїзна, буд. 03 кв. 587, Городище , 72028;898 15 44;iaroshpriska@example.org
Вітрук;Роксолана;Віолеттаівна;Жіноча;1972-05-10;Режисер;селище Липовець;провулок Біляївська, буд. 6 кв. 33, Вуглегірськ, 62600;+380 80 858-79-43;komarvolodymyr@example.com
Гайдай;Володимир;Олесьович;Чоловіча;1966-09-28;Секретар;місто Радивилів;площа Соляний 2-й, буд. 9 кв. 227, Красилів, 68602;018 067 43 19;hodunokostap@example.com
Вертипорох;Надія;Сніжанаівна;Жіноча;1956-04-23;Слідчий;хутір Жашків;узвіз Золотий берег, буд. 62, Керч, 35935;+380 (42) 233-18-55;mykytacharnysh@example.com
Цимбалюк;Роман;Русланович;Чоловіча;2006-06-21;Мікробіолог;хутір Рівне;площа Соляний 1-й, буд. 17, Щолкіне, 63248;+380 77 024 83 72;qhavriushenko@example.org
Жук;Мартин;Тарасович;Чоловіча;1969-07-25;Науковець;хутір Покров;площа Творча, буд. 9, Кілія, 32132;+380 48 799-08-80;chuikoviktor@example.net
Короленко;Святослав;Зиновійович;Чоловіча;1972-01-09;Етнограф;село Бобринець;вулиця Солонцюватий 1-й, буд. 9, Борщів, 68101;938 34 27;rdubenko@example.net
Байдак;Яків;Орхипович;Чоловіча;1973-04-12;Електромонтажник;місто Покровськ;узвіз Соборна, буд. 47 кв. 58, Жмеринка, 73067;+380 01 347-97-36;eriabchenko@example.org
Зінкевич;Роман;Юхимович;Чоловіча;1940-06-23;Стоматолог;хутір Броди;сквер Керченський 1-й, буд. 327 кв. 72, Сокиряни, 19876;019 339-38-30;demianiukprokhir@example.org
Вергун;Спас;Вадимович;Чоловіча;1949-05-27;Краєзнавець;селище Коростень;проспект Митна, буд. 81, Самбір, 34919;+380 (58) 700-05-08;zorian61@example.org
Ковпак;Максим;Георгійович;Чоловіча;1943-01-05;Промисловець;місто Новоград-Волинський;парк Одеська, буд. 1, Нікополь, 26385;+380 (96) 979-36-47;viterheorhii@example.net
Ковпак;Наталія;Алінаівна;Жіноча;1961-09-08;Випробувач;хутір Куп'янськ;провулок Лютневий 1-й, буд. 9, Монастириська, 23406;+380 24 815-60-07;zhuchenkodemyd@example.org
Даньків;Ярина;Єлисаветаівна;Жіноча;2002-10-13;Паралегал;селище Заставна;узвіз Госпітальний, буд. 951 кв. 3, Підгородне, 92011;+380 82 161-94-99;ydurdynets@example.org
Юхименко;Пантелеймон;Данилоович;Чоловіча;1988-04-06;Етнограф;місто Болехів;вулиця Академічний, буд. 08, Харцизьк, 28173;089 929 31 42;pshvachko@example.net
Вергун;Владислав;Давидович;Чоловіча;1995-02-24;Музикант;хутір Вугледар;парк Восьмого березня 4-й, буд. 2, Жовті Води, 73627;041 060-07-04;babkomaksym@example.com
Петлюра;Стефан;Віталійович;Чоловіча;1965-02-06;Стропальник;село Ірпінь;шосе Абрикосовий, буд. 843, Перемишляни, 07044;046 057 22 22;martyn07@example.com
Гуцуляк;Георгій;Валерійович;Чоловіча;1998-02-14;Кур'єр;селище Олександрівськ;площа Пейзажна, буд. 5 кв. 1, Борщів, 48327;119 74 04;venedyktiukhymenko@example.com
Дейсун;Прохір;Францович;Чоловіча;1979-07-31;Няня;селище Апостолове;проспект Суднобудівна, буд. 27 кв. 34, Керч, 01010;+380 (92) 856-81-63;nazarenkooryna@example.org
Мазепа;Демʼян;Миколайович;Чоловіча;1988-10-18;Музикант;село Нове Давидково;вулиця Лінійна, буд. 590, Дружківка, 50340;+380 34 480 23 38;avrelii83@example.net
Бгиденко;Назар;Юстимович;Чоловіча;1995-03-08;Няня;місто Середина-Буда;провулок Лазурний 6-й, буд. 22 кв. 2, Березне, 64742;712-65-91;spasdrobiazko@example.net
Байдак;Охрім;Опанасович;Чоловіча;1957-06-27;Правник;хутір Вознесенськ;вулиця Набережна, буд. 8, Кам'янець-Подільський, 23026;962-64-30;ihnattsiupa@example.net
Єременко;Амалія;Любовівна;Жіноча;1983-02-01;Астронавт;село Першотравенськ;вулиця Ростовська, буд. 29, Зеленодольськ, 26824;+380 (07) 440-81-65;hryhoriikorzh@example.com
Панчук;Ігнат;Ігнатович;Чоловіча;1954-05-26;Гінеколог;селище Хуст;площа Чорноморський 9-й, буд. 405 кв. 285, Комарно, 53771;090 654 43 22;xiefymenko@example.org
Голик;Левко;Соломонович;Чоловіча;1983-11-05;Фізик;місто Кривий Ріг;проспект Абрикосовий, буд. 15 кв. 996, Дебальцеве, 12890;621-50-21;varfolomiidashenko@example.net
Чубай;Давид;Демʼянович;Чоловіча;2005-02-18;Реабілітолог;селище Олександрівськ;парк Літня, буд. 04, Новомиргород, 87837;+380 33 160-43-96;lukianchala@example.org
Єрченко;Борис;Вікторович;Чоловіча;1986-04-17;Антрополог;хутір Стрий;площа Солонцюватий 1-й, буд. 88, Покровськ, 48019;067 867-75-06;amaliiaorlyk@example.net
Шевченко;Руслан;Богуславович;Чоловіча;2004-06-21;Дипломат;село Гуляйполе;вулиця Сурикова 1-й, буд. 554, Чернівці, 64124;+380 93 801-62-95;khoma82@example.com
Самойленко;Емілія;Варвараівна;Жіноча;1985-02-16;Фотограф;село Тетіїв;площа Красносільська, буд. 13, Вільнянськ, 54935;+380 85 432-96-21;amvrosii78@example.com
Колісниченко;Борислав;Орхипович;Чоловіча;1993-03-13;Бухгалтер;місто Хмільник;площа Новикова, буд. 2 кв. 21, Ірміно, 14151;081 043-12-94;martynshvaika@example.net
Рубець;Аніта;Едитаівна;Жіноча;1942-11-20;Провізор;селище Бахмач;провулок Композитора Глинки, буд. 32 кв. 52, Білицьке, 10644;+380 (07) 380-79-81;boryslavsavenko@example.net
Романець;Марина;Софіяівна;Жіноча;2004-04-02;Музикознавець;хутір Ворожба;сквер 12-та Суворовська, буд. 54 кв. 733, Прип'ять , 71526;070 401-57-81;nadiia35@example.net
